index,text,hate,audio
95214,gay people should die,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_0.mp3
108023,Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_1.mp3
43311,Black football players are the most overrated thugs in all of sports!!,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_2.mp3
115778,Learn the fucking language you fucking useless immigrant.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_3.mp3
99515,"This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_4.mp3
11102,I'm gonna warn you right now that I'm in a bad fucking mood. You need to shut your fucking mouth you fucking nazi loving ass sniffer. Your mom probably fucking prostitutes for food stamps you goddamn slut. You've probably fucked your whole family by now.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_5.mp3
111436,"RT @JihadistJoe: We Muslims have no military honour whatsoever, we are sub human savages that slaughter unarmed men, women & children http:…",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_6.mp3
67493,Trump needs to deport these maggots,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_7.mp3
63460,Indians go to hell,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_8.mp3
103825,"Careful what you wish for, you always wanted to feel a huge cock up your hole bitch so now whimper all you like, squeal & cry that ain't gonna stop this bull from raping your boi pussy apart he'll only stop when he is done and shoots his load and breed you URL",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_9.mp3
2731,LESBIAN DEMOCRAT UGLY WHORE,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_10.mp3
38486,""" Did you notice a sign out front that said dead nigger storage?""",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_11.mp3
3874,The pussy must be as crazy as her.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_12.mp3
111051,That's no excuse for stealing other people's technology and research and intellectual property You're all a bunch of human cockroaches is what you are And your food is disgusting on top of that you assholes will eat anything to the point where you'll make any creature go extinct because of your fucking appetites You chinks are determined to eat every Pangolin until they are all wiped off the earth,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_13.mp3
107717,"RT @JihadistJoe: We Muslims have no military honour whatsoever, we are sub human savages that slaughter unarmed men, women & children http:…",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_14.mp3
58029,Illegal immigrants. Get these space ni\*ggers out of here.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_15.mp3
103700,"Careful what you wish for, you always wanted to feel a huge cock up your hole bitch so now whimper all you like, squeal & cry that ain't gonna stop this bull from raping your boi pussy apart he'll only stop when he is done and shoots his load and breed you URL",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_16.mp3
94796,trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_17.mp3
86344,She should edge herself with a mouth full of cum,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_18.mp3
67750,@Breaking911 @BKactualPodcast Can we go to their country and kill their people with impunity?,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_19.mp3
72383,"Don't you have a Walmart to shoot up or something? Grow the fuck up, incel.",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_20.mp3
72731,"Too bad you got nothing to ""attack hard"" with. Little punk-ass spitweasel muslim.",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_21.mp3
22500,"You're disgusting, you should just kill yourself you disgusting piece of trash, just stop being a waste of space and end it, can't you just be a normal fucking person and keep your dick? Why would you want to get rid of your dick? That's just retarded and a waste of time and money. Why would you do that? Just use your asshole you fucking tard. Non of this shit even makes sense just keep your dick and kill yourself",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_22.mp3
68400,Mind your business fucking niggers URL,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_23.mp3
34537,"@ejmrulz I hope its more autistic, more filthy and offensive that it will susan shit her pants and cry like a bitch while susan sucks amy schumers fat ugly pig titties for milk.",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_24.mp3
98575,trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_25.mp3
117706,Learn the fucking language you fucking useless immigrant.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_26.mp3
119977,Looks like a nigger with their typical retarded haircuts,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_27.mp3
10977,Dis nigga daddy shoulda just shot him and his brova on the fucking sheet or his mova shoulda just swallowed that nut cuz these niggas is a waste of fucking space,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_28.mp3
32326,Go suck the lispy queer's dick,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_29.mp3
9461,Strangle those hoes,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_30.mp3
102888,Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_31.mp3
93122,Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_32.mp3
109994,"They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_33.mp3
22882,@jpsin1 @ZomatoIN Can we cancel oil from Gulf? I think it's muslim oil. Human are embracing characterstics of animals. May God blessed wisdom to all.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_34.mp3
19808,I think all balochistan girls need raping anally,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_35.mp3
